domain,dataset,generator,model,mix,seed,error,f1,ece,diversity,diversity0,fidelity_ks,cri,err0
tabular,PimaDiabetes,GaussianCopula,HistGBM,0.0,1,0.3137521222410866,0.6862478777589134,0.1329865469068598,3.8042436251573126,3.8042436251573126,0.0,7.885930242146344e-10,0.3137521222410866
tabular,PimaDiabetes,GaussianCopula,HistGBM,0.1,1,0.3204439049765909,0.6795560950234091,0.1406174159986422,3.8246200737132496,3.8042436251573126,0.2434758589531981,0.004872065186108632,0.3137521222410866
tabular,PimaDiabetes,GaussianCopula,HistGBM,0.3,1,0.306025641025641,0.693974358974359,0.1209206160493265,3.802395324882773,3.8042436251573126,0.5483947561658635,0.00014575645924396196,0.3137521222410866
tabular,PimaDiabetes,GaussianCopula,HistGBM,0.5,1,0.3228511530398322,0.6771488469601677,0.1440590429339606,3.753946314862993,3.8042436251573126,0.468389008041119,0.010730426205997338,0.3137521222410866
tabular,PimaDiabetes,GaussianCopula,HistGBM,0.7,1,0.3151848591549295,0.6848151408450704,0.1737179890795414,3.774552554255217,3.8042436251573126,0.6950329156513899,0.011204074824923077,0.3137521222410866
tabular,PimaDiabetes,GaussianCopula,HistGBM,0.0,2,0.3000574945167267,0.6999425054832733,0.1148852189966998,3.7505695124794953,3.7505695124794953,0.0,7.998785300777911e-10,0.3000574945167267
tabular,PimaDiabetes,GaussianCopula,HistGBM,0.1,2,0.2922077922077921,0.7077922077922079,0.1236010013076701,3.7718195660343454,3.7505695124794953,0.3745629330923252,0.0017431564621940593,0.3000574945167267
tabular,PimaDiabetes,GaussianCopula,HistGBM,0.3,2,0.2663548352006961,0.7336451647993039,0.1174875469326697,3.794170522305011,3.7505695124794953,0.3932615270541396,0.0005204655871939801,0.3000574945167267
tabular,PimaDiabetes,GaussianCopula,HistGBM,0.5,2,0.2508677413172633,0.7491322586827367,0.1087610836402124,3.7804125785039577,3.7505695124794953,0.5781643650979273,0.0,0.3000574945167267
tabular,PimaDiabetes,GaussianCopula,HistGBM,0.7,2,0.3252495534307029,0.6747504465692971,0.1564653460831474,3.769582818796374,3.7505695124794953,0.8053437113070578,0.020912054874277615,0.3000574945167267
tabular,PimaDiabetes,GaussianCopula,LogReg,0.0,0,0.2643485915492958,0.7356514084507042,0.0659572060362194,3.748707456500085,3.748707456500085,0.0,8.002758455916137e-10,0.2643485915492958
tabular,PimaDiabetes,GaussianCopula,LogReg,0.1,0,0.2764059610573262,0.7235940389426738,0.0660780685527198,3.775843125712053,3.748707456500085,0.2396296192495114,0.00605285725731527,0.2643485915492958
tabular,PimaDiabetes,GaussianCopula,LogReg,0.3,0,0.2566666666666666,0.7433333333333334,0.0502158759839541,3.765656381120918,3.748707456500085,0.5454087250630779,0.0,0.2643485915492958
tabular,PimaDiabetes,GaussianCopula,LogReg,0.5,0,0.2972049689440994,0.7027950310559006,0.0685857891704533,3.7801434569967753,3.748707456500085,0.8239793311356062,0.01695390532424859,0.2643485915492958
tabular,PimaDiabetes,GaussianCopula,LogReg,0.7,0,0.3035614851771833,0.6964385148228167,0.0725696388505745,3.747132800254424,3.748707456500085,0.4874594745166188,0.021054950111361204,0.2643485915492958
tabular,PimaDiabetes,GaussianCopula,LogReg,0.0,1,0.2807052429243719,0.7192947570756281,0.0600265565626838,3.8042436251573126,3.8042436251573126,0.0,7.885930242146344e-10,0.2807052429243719
tabular,PimaDiabetes,GaussianCopula,LogReg,0.1,1,0.2773360516479782,0.7226639483520217,0.0551727046309015,3.8246200737132496,3.8042436251573126,0.2434758589531981,0.0,0.2807052429243719
tabular,PimaDiabetes,GaussianCopula,LogReg,0.3,1,0.288642392090668,0.711357607909332,0.0505443148911052,3.802395324882773,3.8042436251573126,0.5483947561658635,0.004114331042392022,0.2807052429243719
tabular,PimaDiabetes,GaussianCopula,LogReg,0.5,1,0.3114701647736362,0.6885298352263638,0.0743902821891569,3.753946314862993,3.8042436251573126,0.468389008041119,0.022221617651131172,0.2807052429243719
tabular,PimaDiabetes,GaussianCopula,LogReg,0.7,1,0.3181818181818181,0.6818181818181819,0.0855302157794462,3.774552554255217,3.8042436251573126,0.6950329156513899,0.026180437405540918,0.2807052429243719
tabular,PimaDiabetes,GaussianCopula,LogReg,0.0,2,0.2692369220924653,0.7307630779075347,0.0652513844874683,3.7505695124794953,3.7505695124794953,0.0,7.998785300777911e-10,0.2692369220924653
tabular,PimaDiabetes,GaussianCopula,LogReg,0.1,2,0.2903535434330507,0.7096464565669492,0.0619791419052437,3.7718195660343454,3.7505695124794953,0.3745629330923252,0.010558310670292698,0.2692369220924653
tabular,PimaDiabetes,GaussianCopula,LogReg,0.3,2,0.2850059361687268,0.7149940638312732,0.0730569667913975,3.794170522305011,3.7505695124794953,0.3932615270541396,0.009445623498916603,0.2692369220924653
tabular,PimaDiabetes,GaussianCopula,LogReg,0.5,2,0.2936182459169725,0.7063817540830275,0.1021769968932582,3.7804125785039577,3.7505695124794953,0.5781643650979273,0.019575784393411576,0.2692369220924653
tabular,PimaDiabetes,GaussianCopula,LogReg,0.7,2,0.3016023738872403,0.6983976261127597,0.1070114356524398,3.769582818796374,3.7505695124794953,0.8053437113070578,0.024534736130381807,0.2692369220924653
tabular,PimaDiabetes,GaussianCopula,RandomForest,0.0,0,0.2508677413172633,0.7491322586827367,0.0599567099567099,3.748707456500085,3.748707456500085,0.0,8.002758455916137e-10,0.2508677413172633
tabular,PimaDiabetes,GaussianCopula,RandomForest,0.1,0,0.2508677413172633,0.7491322586827367,0.0462481962481962,3.775843125712053,3.748707456500085,0.2396296192495114,0.0,0.2508677413172633
tabular,PimaDiabetes,GaussianCopula,RandomForest,0.3,0,0.2703745448239987,0.7296254551760013,0.0443722943722943,3.765656381120918,3.748707456500085,0.5454087250630779,0.009753401753367696,0.2508677413172633
tabular,PimaDiabetes,GaussianCopula,RandomForest,0.5,0,0.2380033759344104,0.7619966240655895,0.1036435786435786,3.7801434569967753,3.748707456500085,0.8239793311356062,0.008737373737373738,0.2508677413172633
tabular,PimaDiabetes,GaussianCopula,RandomForest,0.7,0,0.2724056603773584,0.7275943396226415,0.0987373737373737,3.747132800254424,3.748707456500085,0.4874594745166188,0.018651109020726756,0.2508677413172633
tabular,PimaDiabetes,GaussianCopula,RandomForest,0.0,1,0.3190258017844225,0.6809741982155775,0.0557359307359307,3.8042436251573126,3.8042436251573126,0.0,7.885930242146344e-10,0.3190258017844225
tabular,PimaDiabetes,GaussianCopula,RandomForest,0.1,1,0.3074534161490683,0.6925465838509317,0.0481962481962481,3.8246200737132496,3.8042436251573126,0.2434758589531981,0.0,0.3190258017844225
tabular,PimaDiabetes,GaussianCopula,RandomForest,0.3,1,0.2904022888850355,0.7095977111149645,0.0554834054834055,3.802395324882773,3.8042436251573126,0.5483947561658635,0.00014575645924396196,0.3190258017844225
tabular,PimaDiabetes,GaussianCopula,RandomForest,0.5,1,0.3431450967845144,0.6568549032154856,0.0756132756132756,3.753946314862993,3.8042436251573126,0.468389008041119,0.020001528076719295,0.3190258017844225
tabular,PimaDiabetes,GaussianCopula,RandomForest,0.7,1,0.3009118541033435,0.6990881458966565,0.0949494949494949,3.774552554255217,3.8042436251573126,0.6950329156513899,0.010184130776178156,0.3190258017844225
tabular,PimaDiabetes,GaussianCopula,RandomForest,0.0,2,0.2823294808842764,0.7176705191157235,0.058044733044733,3.7505695124794953,3.7505695124794953,0.0,7.998785300777911e-10,0.2823294808842764
tabular,PimaDiabetes,GaussianCopula,RandomForest,0.1,2,0.3019480519480519,0.698051948051948,0.0662698412698412,3.7718195660343454,3.7505695124794953,0.3745629330923252,0.011454307176909397,0.2823294808842764
tabular,PimaDiabetes,GaussianCopula,RandomForest,0.3,2,0.292583857442348,0.707416142557652,0.0762265512265512,3.794170522305011,3.7505695124794953,0.3932615270541396,0.008763551915399438,0.2823294808842764
tabular,PimaDiabetes,GaussianCopula,RandomForest,0.5,2,0.2602903161662357,0.7397096838337642,0.0841630591630591,3.7804125785039577,3.7505695124794953,0.5781643650979273,0.005223665223665221,0.2823294808842764
tabular,PimaDiabetes,GaussianCopula,RandomForest,0.7,2,0.3258554787040407,0.6741445212959593,0.0644660894660894,3.769582818796374,3.7505695124794953,0.8053437113070578,0.023047270194153424,0.2823294808842764
tabular,PimaDiabetes,IndepMarginals,HistGBM,0.0,0,0.2253564979139424,0.7746435020860576,0.1060641279472467,3.748707456500085,3.748707456500085,0.0,8.002758455916137e-10,0.2253564979139424
tabular,PimaDiabetes,IndepMarginals,HistGBM,0.1,0,0.2349461361230462,0.7650538638769537,0.1127030062502025,3.747055775573097,3.748707456500085,0.2818138919156994,0.006254775598810233,0.2253564979139424
tabular,PimaDiabetes,IndepMarginals,HistGBM,0.3,0,0.2503468007629617,0.7496531992370383,0.1025757158229127,3.81148825721834,3.748707456500085,0.6447586510766498,0.012495151424509632,0.2253564979139424
tabular,PimaDiabetes,IndepMarginals,HistGBM,0.5,0,0.2597018654230514,0.7402981345769486,0.1375719672201932,3.806113028870128,3.748707456500085,0.7784468967905815,0.023474251609143792,0.2253564979139424
tabular,PimaDiabetes,IndepMarginals,HistGBM,0.7,0,0.2941426146010186,0.7058573853989814,0.127837207962138,3.807372095740559,3.748707456500085,0.6676690651776478,0.038747674346516346,0.2253564979139424
tabular,PimaDiabetes,IndepMarginals,HistGBM,0.0,1,0.3137521222410866,0.6862478777589134,0.1329865469068598,3.8042436251573126,3.8042436251573126,0.0,7.885930242146344e-10,0.3137521222410866
tabular,PimaDiabetes,IndepMarginals,HistGBM,0.1,1,0.2982441039765879,0.701755896023412,0.1227841095492948,3.80361955614215,3.8042436251573126,0.2721789686741923,4.921443590482077e-05,0.3137521222410866
tabular,PimaDiabetes,IndepMarginals,HistGBM,0.3,1,0.3043083900226757,0.6956916099773243,0.1337441991067568,3.802886163028428,3.8042436251573126,0.5809416621618,0.00025857974536611095,0.3137521222410866
tabular,PimaDiabetes,IndepMarginals,HistGBM,0.5,1,0.3204439049765909,0.6795560950234091,0.1473955672272778,3.788295265008163,3.8042436251573126,0.3455566216641303,0.007485372779450461,0.3137521222410866
tabular,PimaDiabetes,IndepMarginals,HistGBM,0.7,1,0.3099838969404187,0.6900161030595813,0.1593325534148167,3.8239646115860046,3.8042436251573126,0.5973689890118361,0.0052692013015913815,0.3137521222410866
tabular,PimaDiabetes,IndepMarginals,HistGBM,0.0,2,0.3000574945167267,0.6999425054832733,0.1148852189966998,3.7505695124794953,3.7505695124794953,0.0,7.998785300777911e-10,0.3000574945167267
tabular,PimaDiabetes,IndepMarginals,HistGBM,0.1,2,0.3104300329460725,0.6895699670539275,0.1111395704894266,3.778686296099381,3.7505695124794953,0.407493748508525,0.005186269214672912,0.3000574945167267
tabular,PimaDiabetes,IndepMarginals,HistGBM,0.3,2,0.2663548352006961,0.7336451647993039,0.1056836546060244,3.759842713950179,3.7505695124794953,0.3605474408565162,0.0,0.3000574945167267
tabular,PimaDiabetes,IndepMarginals,HistGBM,0.5,2,0.2883026338440351,0.7116973661559649,0.1537485707838444,3.803177149961851,3.7505695124794953,0.6551467027053834,0.007772670357428921,0.3000574945167267
tabular,PimaDiabetes,IndepMarginals,HistGBM,0.7,2,0.2813514976542765,0.7186485023457235,0.1269505725078745,3.8094278313227057,3.7505695124794953,0.6155163282954984,0.00241307070223494,0.3000574945167267
tabular,PimaDiabetes,IndepMarginals,LogReg,0.0,0,0.2643485915492958,0.7356514084507042,0.0659572060362194,3.748707456500085,3.748707456500085,0.0,8.002758455916137e-10,0.2643485915492958
tabular,PimaDiabetes,IndepMarginals,LogReg,0.1,0,0.2663548352006961,0.7336451647993039,0.0633729850952815,3.747055775573097,3.748707456500085,0.2818138919156994,0.0011353026593673154,0.2643485915492958
tabular,PimaDiabetes,IndepMarginals,LogReg,0.3,0,0.2807052429243719,0.7192947570756281,0.0682962372545113,3.81148825721834,3.748707456500085,0.6447586510766498,0.008646131931196418,0.2643485915492958
tabular,PimaDiabetes,IndepMarginals,LogReg,0.5,0,0.3035614851771833,0.6964385148228167,0.0579300187365858,3.806113028870128,3.748707456500085,0.7784468967905815,0.019606446813943745,0.2643485915492958
tabular,PimaDiabetes,IndepMarginals,LogReg,0.7,0,0.3060976979225154,0.6939023020774846,0.0878432417372563,3.807372095740559,3.748707456500085,0.6676690651776478,0.02525176032681718,0.2643485915492958
tabular,PimaDiabetes,IndepMarginals,LogReg,0.0,1,0.2807052429243719,0.7192947570756281,0.0600265565626838,3.8042436251573126,3.8042436251573126,0.0,7.885930242146344e-10,0.2807052429243719
tabular,PimaDiabetes,IndepMarginals,LogReg,0.1,1,0.2982670744138633,0.7017329255861366,0.0602434398488249,3.80361955614215,3.8042436251573126,0.2721789686741923,0.008873506837878752,0.2807052429243719
tabular,PimaDiabetes,IndepMarginals,LogReg,0.3,1,0.3409822866344605,0.6590177133655395,0.1093931773646697,3.802886163028428,3.8042436251573126,0.5809416621618,0.040118895320828206,0.2807052429243719
tabular,PimaDiabetes,IndepMarginals,LogReg,0.5,1,0.3138517050136979,0.686148294986302,0.0967958779684435,3.788295265008163,3.8042436251573126,0.3455566216641303,0.025184772673429664,0.2807052429243719
tabular,PimaDiabetes,IndepMarginals,LogReg,0.7,1,0.3312022564343636,0.6687977435656364,0.1186182364543552,3.8239646115860046,3.8042436251573126,0.5973689890118361,0.036966842733330126,0.2807052429243719
tabular,PimaDiabetes,IndepMarginals,LogReg,0.0,2,0.2692369220924653,0.7307630779075347,0.0652513844874683,3.7505695124794953,3.7505695124794953,0.0,7.998785300777911e-10,0.2692369220924653
tabular,PimaDiabetes,IndepMarginals,LogReg,0.1,2,0.295760877156226,0.704239122843774,0.0629390362010829,3.778686296099381,3.7505695124794953,0.407493748508525,0.013261977531880353,0.2692369220924653
tabular,PimaDiabetes,IndepMarginals,LogReg,0.3,2,0.29091270630344,0.70908729369656,0.0621526625735087,3.759842713950179,3.7505695124794953,0.3605474408565162,0.010837892105487357,0.2692369220924653
tabular,PimaDiabetes,IndepMarginals,LogReg,0.5,2,0.3203431660594664,0.6796568339405336,0.1037404617999299,3.803177149961851,3.7505695124794953,0.6551467027053834,0.03325093744599286,0.2692369220924653
tabular,PimaDiabetes,IndepMarginals,LogReg,0.7,2,0.2906350148367953,0.7093649851632047,0.1220769069170076,3.8094278313227057,3.7505695124794953,0.6155163282954984,0.02206415085807287,0.2692369220924653
tabular,PimaDiabetes,IndepMarginals,RandomForest,0.0,0,0.2508677413172633,0.7491322586827367,0.0599567099567099,3.748707456500085,3.748707456500085,0.0,8.002758455916137e-10,0.2508677413172633
tabular,PimaDiabetes,IndepMarginals,RandomForest,0.1,0,0.2549235993208828,0.7450764006791172,0.0566738816738817,3.747055775573097,3.748707456500085,0.2818138919156994,0.002160109835476931,0.2508677413172633
tabular,PimaDiabetes,IndepMarginals,RandomForest,0.3,0,0.2664596273291926,0.7335403726708074,0.0616522366522366,3.81148825721834,3.748707456500085,0.6447586510766498,0.008135048345069984,0.2508677413172633
tabular,PimaDiabetes,IndepMarginals,RandomForest,0.5,0,0.2843537414965986,0.7156462585034014,0.0457070707070706,3.806113028870128,3.748707456500085,0.7784468967905815,0.016743000089667642,0.2508677413172633
tabular,PimaDiabetes,IndepMarginals,RandomForest,0.7,0,0.2869565217391304,0.7130434782608696,0.0728354978354978,3.807372095740559,3.748707456500085,0.6676690651776478,0.02062014778669112,0.2508677413172633
tabular,PimaDiabetes,IndepMarginals,RandomForest,0.0,1,0.3190258017844225,0.6809741982155775,0.0557359307359307,3.8042436251573126,3.8042436251573126,0.0,7.885930242146344e-10,0.3190258017844225
tabular,PimaDiabetes,IndepMarginals,RandomForest,0.1,1,0.2932712653406686,0.7067287346593314,0.0584054834054833,3.80361955614215,3.8042436251573126,0.2721789686741923,0.0005831249698153407,0.3190258017844225
tabular,PimaDiabetes,IndepMarginals,RandomForest,0.3,1,0.2602903161662357,0.7397096838337642,0.0776695526695526,3.802886163028428,3.8042436251573126,0.5809416621618,0.004493773692111088,0.3190258017844225
tabular,PimaDiabetes,IndepMarginals,RandomForest,0.5,1,0.3087325857968059,0.691267414203194,0.0841269841269841,3.788295265008163,3.8042436251573126,0.3455566216641303,0.006935888025825386,0.3190258017844225
tabular,PimaDiabetes,IndepMarginals,RandomForest,0.7,1,0.3172707591312242,0.6827292408687757,0.1129509379509379,3.8239646115860046,3.8042436251573126,0.5973689890118361,0.01144300144300144,0.3190258017844225
tabular,PimaDiabetes,IndepMarginals,RandomForest,0.0,2,0.2823294808842764,0.7176705191157235,0.058044733044733,3.7505695124794953,3.7505695124794953,0.0,7.998785300777911e-10,0.2823294808842764
tabular,PimaDiabetes,IndepMarginals,RandomForest,0.1,2,0.2823294808842764,0.7176705191157235,0.0491702741702741,3.778686296099381,3.7505695124794953,0.407493748508525,0.0,0.2823294808842764
tabular,PimaDiabetes,IndepMarginals,RandomForest,0.3,2,0.2864570869139562,0.7135429130860438,0.0367604617604617,3.759842713950179,3.7505695124794953,0.3605474408565162,0.00206380301483991,0.2823294808842764
tabular,PimaDiabetes,IndepMarginals,RandomForest,0.5,2,0.3060976979225154,0.6939023020774846,0.0857864357864358,3.803177149961851,3.7505695124794953,0.6551467027053834,0.01743244906746006,0.2823294808842764
tabular,PimaDiabetes,IndepMarginals,RandomForest,0.7,2,0.3157781135333477,0.6842218864666523,0.109018759018759,3.8094278313227057,3.7505695124794953,0.6155163282954984,0.026919121519340866,0.2823294808842764
tabular,PimaDiabetes,NearDuplicate,HistGBM,0.0,0,0.2253564979139424,0.7746435020860576,0.1060641279472467,3.748707456500085,3.748707456500085,0.0,8.002758455916137e-10,0.2253564979139424
tabular,PimaDiabetes,NearDuplicate,HistGBM,0.1,0,0.263715050750358,0.7362849492496419,0.0899942106073349,3.744738470472392,3.748707456500085,0.2172467695330127,0.019496905579444952,0.2253564979139424
tabular,PimaDiabetes,NearDuplicate,HistGBM,0.3,0,0.2516339869281045,0.7483660130718954,0.1215339492913088,3.816023419964474,3.748707456500085,0.3847879546715845,0.01623270877589347,0.2253564979139424
tabular,PimaDiabetes,NearDuplicate,HistGBM,0.5,0,0.2516339869281045,0.7483660130718954,0.1327499182207447,3.7456479880208815,3.748707456500085,0.6402818188250387,0.018720745231410957,0.2253564979139424
tabular,PimaDiabetes,NearDuplicate,HistGBM,0.7,0,0.2823294808842764,0.7176705191157235,0.1597850341642945,3.743366723657956,3.748707456500085,0.769279462543811,0.03965807947262276,0.2253564979139424
tabular,PimaDiabetes,NearDuplicate,HistGBM,0.0,1,0.3137521222410866,0.6862478777589134,0.1329865469068598,3.8042436251573126,3.8042436251573126,0.0,7.885930242146344e-10,0.3137521222410866
tabular,PimaDiabetes,NearDuplicate,HistGBM,0.1,1,0.3295713464364047,0.6704286535635953,0.1420657528723347,3.794843393045167,3.8042436251573126,0.2718251162730121,0.01046674982801618,0.3137521222410866
tabular,PimaDiabetes,NearDuplicate,HistGBM,0.3,1,0.2961227277503415,0.7038772722496585,0.1483077892302921,3.771302054094732,3.8042436251573126,0.3559963297342017,0.005661998573918215,0.3137521222410866
tabular,PimaDiabetes,NearDuplicate,HistGBM,0.5,1,0.290219543876834,0.709780456123166,0.148764729405062,3.726415665565967,3.8042436251573126,0.6670268145505518,0.009293095904613108,0.3137521222410866
tabular,PimaDiabetes,NearDuplicate,HistGBM,0.7,1,0.268386785628165,0.731613214371835,0.1532079330763654,3.813061104087592,3.8042436251573126,0.4158952574345562,0.004044277233901122,0.3137521222410866
tabular,PimaDiabetes,NearDuplicate,HistGBM,0.0,2,0.3000574945167267,0.6999425054832733,0.1148852189966998,3.7505695124794953,3.7505695124794953,0.0,7.998785300777911e-10,0.3000574945167267
tabular,PimaDiabetes,NearDuplicate,HistGBM,0.1,2,0.3137521222410866,0.6862478777589134,0.1330464127690551,3.768436322788888,3.7505695124794953,0.347610064893848,0.01047955261665102,0.3000574945167267
tabular,PimaDiabetes,NearDuplicate,HistGBM,0.3,2,0.2563037093440661,0.7436962906559339,0.1246051493986798,3.775797304892871,3.7505695124794953,0.5456939097697391,0.0019439860803959986,0.3000574945167267
tabular,PimaDiabetes,NearDuplicate,HistGBM,0.5,2,0.2883026338440351,0.7116973661559649,0.1558656502751615,3.731128266232389,3.7505695124794953,0.9010647157203856,0.009751150583703018,0.3000574945167267
tabular,PimaDiabetes,NearDuplicate,HistGBM,0.7,2,0.3035614851771833,0.6964385148228167,0.141960680297087,3.748979077613044,3.7505695124794953,0.8041769760998754,0.007294303858948595,0.3000574945167267
tabular,PimaDiabetes,NearDuplicate,LogReg,0.0,0,0.2643485915492958,0.7356514084507042,0.0659572060362194,3.748707456500085,3.748707456500085,0.0,8.002758455916137e-10,0.2643485915492958
tabular,PimaDiabetes,NearDuplicate,LogReg,0.1,0,0.2724056603773584,0.7275943396226415,0.062849922953238,3.744738470472392,3.748707456500085,0.2172467695330127,0.004346163575268463,0.2643485915492958
tabular,PimaDiabetes,NearDuplicate,LogReg,0.3,0,0.2643990929705215,0.7356009070294784,0.0592627486285528,3.816023419964474,3.748707456500085,0.3847879546715845,2.525071061285078e-05,0.2643485915492958
tabular,PimaDiabetes,NearDuplicate,LogReg,0.5,0,0.2972049689440994,0.7027950310559006,0.0760711139200802,3.7456479880208815,3.748707456500085,0.6402818188250387,0.01869581294380428,0.2643485915492958
tabular,PimaDiabetes,NearDuplicate,LogReg,0.7,0,0.2584782234463763,0.7415217765536237,0.0798098879867071,3.743366723657956,3.748707456500085,0.769279462543811,0.0031979431341437495,0.2643485915492958
tabular,PimaDiabetes,NearDuplicate,LogReg,0.0,1,0.2807052429243719,0.7192947570756281,0.0600265565626838,3.8042436251573126,3.8042436251573126,0.0,7.885930242146344e-10,0.2807052429243719
tabular,PimaDiabetes,NearDuplicate,LogReg,0.1,1,0.2767080745341614,0.7232919254658385,0.0428779272621438,3.794843393045167,3.8042436251573126,0.2718251162730121,0.0007412965372621704,0.2807052429243719
tabular,PimaDiabetes,NearDuplicate,LogReg,0.3,1,0.2948503521126761,0.7051496478873239,0.0648246457195192,3.771302054094732,3.8042436251573126,0.3559963297342017,0.010629922534750931,0.2807052429243719
tabular,PimaDiabetes,NearDuplicate,LogReg,0.5,1,0.300416160915554,0.699583839084446,0.1004603082200118,3.726415665565967,3.8042436251573126,0.6670268145505518,0.02407966873202933,0.2807052429243719
tabular,PimaDiabetes,NearDuplicate,LogReg,0.7,1,0.3099838969404187,0.6900161030595813,0.1161506769322119,3.813061104087592,3.8042436251573126,0.4158952574345562,0.025864151081929042,0.2807052429243719
tabular,PimaDiabetes,NearDuplicate,LogReg,0.0,2,0.2692369220924653,0.7307630779075347,0.0652513844874683,3.7505695124794953,3.7505695124794953,0.0,7.998785300777911e-10,0.2692369220924653
tabular,PimaDiabetes,NearDuplicate,LogReg,0.1,2,0.2757575757575757,0.7242424242424242,0.0652780117382931,3.768436322788888,3.7505695124794953,0.347610064893848,0.0032656522827201606,0.2692369220924653
tabular,PimaDiabetes,NearDuplicate,LogReg,0.3,2,0.2783132530120482,0.7216867469879518,0.0661373288487336,3.775797304892871,3.7505695124794953,0.5456939097697391,0.004715354332044499,0.2692369220924653
tabular,PimaDiabetes,NearDuplicate,LogReg,0.5,2,0.2829810455041539,0.7170189544958461,0.0939580022801673,3.731128266232389,3.7505695124794953,0.9010647157203856,0.014168449592394793,0.2692369220924653
tabular,PimaDiabetes,NearDuplicate,LogReg,0.7,2,0.2742509951812277,0.7257490048187722,0.0859606525337044,3.748979077613044,3.7505695124794953,0.8041769760998754,0.0067761064222712775,0.2692369220924653
tabular,PimaDiabetes,NearDuplicate,RandomForest,0.0,0,0.2508677413172633,0.7491322586827367,0.0599567099567099,3.748707456500085,3.748707456500085,0.0,8.002758455916137e-10,0.2508677413172633
tabular,PimaDiabetes,NearDuplicate,RandomForest,0.1,0,0.2427042905847288,0.7572957094152711,0.0682900432900432,3.744738470472392,3.748707456500085,0.2172467695330127,0.001984295827903815,0.2508677413172633
tabular,PimaDiabetes,NearDuplicate,RandomForest,0.3,0,0.2684196935789292,0.7315803064210707,0.0435064935064934,3.816023419964474,3.748707456500085,0.3847879546715845,0.008775976130832946,0.2508677413172633
tabular,PimaDiabetes,NearDuplicate,RandomForest,0.5,0,0.254421768707483,0.745578231292517,0.0641414141414141,3.7456479880208815,3.748707456500085,0.6402818188250387,0.0028587972016809985,0.2508677413172633
tabular,PimaDiabetes,NearDuplicate,RandomForest,0.7,0,0.2864570869139562,0.7135429130860438,0.0704906204906204,3.743366723657956,3.748707456500085,0.769279462543811,0.020328861649174766,0.2508677413172633
tabular,PimaDiabetes,NearDuplicate,RandomForest,0.0,1,0.3190258017844225,0.6809741982155775,0.0557359307359307,3.8042436251573126,3.8042436251573126,0.0,7.885930242146344e-10,0.3190258017844225
tabular,PimaDiabetes,NearDuplicate,RandomForest,0.1,1,0.3166104644838463,0.6833895355161537,0.072077922077922,3.794843393045167,3.8042436251573126,0.2718251162730121,0.004009694805660431,0.3190258017844225
tabular,PimaDiabetes,NearDuplicate,RandomForest,0.3,1,0.300416160915554,0.699583839084446,0.0691558441558441,3.771302054094732,3.8042436251573126,0.3559963297342017,0.005281732793214434,0.3190258017844225
tabular,PimaDiabetes,NearDuplicate,RandomForest,0.5,1,0.3166104644838463,0.6833895355161537,0.0683261183261183,3.726415665565967,3.8042436251573126,0.6670268145505518,0.008655496923010188,0.3190258017844225
tabular,PimaDiabetes,NearDuplicate,RandomForest,0.7,1,0.3249694425866563,0.6750305574133437,0.099062049062049,3.813061104087592,3.8042436251573126,0.4158952574345562,0.011637044066340536,0.3190258017844225
tabular,PimaDiabetes,NearDuplicate,RandomForest,0.0,2,0.2823294808842764,0.7176705191157235,0.058044733044733,3.7505695124794953,3.7505695124794953,0.0,7.998785300777911e-10,0.2823294808842764
tabular,PimaDiabetes,NearDuplicate,RandomForest,0.1,2,0.2803815932369413,0.7196184067630587,0.0547258297258297,3.768436322788888,3.7505695124794953,0.347610064893848,0.0,0.2823294808842764
tabular,PimaDiabetes,NearDuplicate,RandomForest,0.3,2,0.2829810455041539,0.7170189544958461,0.0865440115440115,3.775797304892871,3.7505695124794953,0.5456939097697391,0.006025638009794467,0.2823294808842764
tabular,PimaDiabetes,NearDuplicate,RandomForest,0.5,2,0.2883026338440351,0.7116973661559649,0.0615079365079365,3.731128266232389,3.7505695124794953,0.9010647157203856,0.005234281500530728,0.2823294808842764
tabular,PimaDiabetes,NearDuplicate,RandomForest,0.7,2,0.2757575757575757,0.7242424242424242,0.0634920634920634,3.748979077613044,3.7505695124794953,0.8041769760998754,0.0012166823581089407,0.2823294808842764
tabular,Wine,GaussianCopula,HistGBM,0.0,0,0.0,1.0,0.0054336571145129,4.952715573056642,4.952715573056642,0.0,6.057283008509273e-10,0.0
tabular,Wine,GaussianCopula,HistGBM,0.1,0,0.0,1.0,0.0036268897422274,4.960745932501346,4.952715573056642,0.3246205006477325,0.0,0.0
tabular,Wine,GaussianCopula,HistGBM,0.3,0,0.0752377993757303,0.9247622006242696,0.0633489565535215,4.76134131909953,4.952715573056642,0.4312796787724009,0.06079404036939192,0.0
tabular,Wine,GaussianCopula,HistGBM,0.5,0,0.0982263051228568,0.9017736948771432,0.0600142130152435,4.9597193703600695,4.952715573056642,0.5061899522285456,0.060029263741574516,0.0
tabular,Wine,GaussianCopula,HistGBM,0.7,0,0.1482482482482482,0.8517517517517518,0.1174051032914825,4.891313290153636,4.952715573056642,0.5196868726234026,0.10023772402090941,0.0
tabular,Wine,GaussianCopula,HistGBM,0.0,1,0.0,1.0,0.0127359145459064,5.015281083446635,5.015281083446635,0.0,5.981718453895724e-10,0.0
tabular,Wine,GaussianCopula,HistGBM,0.1,1,0.0381124692937939,0.961887530706206,0.0374668590843991,5.095109512155682,5.015281083446635,0.2172977450107356,0.02400242355459549,0.0
